ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10824140,JA125390,01/22/2017 10:00:00 AM,039XX W LAWRENCE AVE,1680,GAMBLING,OTHER,RESTAURANT,true,false,1723,017,39,14,19,1149058,1931603,2017,02/14/2017 03:49:42 PM,41.968249849,-87.727306531,"(41.968249849, -87.727306531)"
10835996,JA137871,02/01/2017 01:47:00 PM,015XX W WASHBURNE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1233,012,2,28,19,1166057,1894467,2017,02/14/2017 03:49:42 PM,41.865999427,-87.665864974,"(41.865999427, -87.665864974)"
10844263,JA146716,02/08/2017 04:25:00 PM,013XX N HUDSON AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1821,018,27,8,19,1173068,1909520,2017,02/15/2017 03:56:10 PM,41.907153315,-87.639680572,"(41.907153315, -87.639680572)"
10844545,JA147622,02/09/2017 02:35:00 PM,0000X S SPRINGFIELD AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,28,26,19,1150397,1899626,2017,02/16/2017 03:49:36 PM,41.880476036,-87.723219647,"(41.880476036, -87.723219647)"
10844837,JA148011,02/09/2017 07:49:00 PM,009XX W 83RD ST,1661,GAMBLING,GAME/DICE,APARTMENT,true,false,0613,006,21,71,19,1171511,1849799,2017,02/16/2017 03:49:36 PM,41.74330766,-87.647152195,"(41.74330766, -87.647152195)"
10853833,JA158458,02/18/2017 12:30:00 PM,039XX W GRENSHAW ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,29,19,1150328,1894751,2017,02/25/2017 03:56:47 PM,41.86709983,-87.723600169,"(41.86709983, -87.723600169)"
10855528,JA160757,02/20/2017 12:33:00 PM,039XX W GRENSHAW ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,29,19,1150300,1894750,2017,02/27/2017 03:56:40 PM,41.867097632,-87.723702988,"(41.867097632, -87.723702988)"
10856885,JA162341,02/21/2017 04:16:00 PM,069XX S WOLCOTT AVE,1661,GAMBLING,GAME/DICE,OTHER,true,false,0735,007,17,67,19,1164887,1858588,2017,02/28/2017 04:05:09 PM,41.767568306,-87.671175092,"(41.767568306, -87.671175092)"
10857762,JA163293,02/22/2017 01:40:00 PM,001XX N LAPORTE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1532,015,28,25,19,1143350,1900754,2017,03/01/2017 03:52:50 PM,41.883705962,-87.749067634,"(41.883705962, -87.749067634)"
10860496,JA166192,02/24/2017 07:45:00 PM,0000X E 112TH PL,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0531,005,9,49,19,1178610,1830387,2017,03/03/2017 03:50:55 PM,41.689880287,-87.621729073,"(41.689880287, -87.621729073)"
